layer,name,best_acc_pct,sigma,power
6,relu2_1,69.9,0.5774,0.2495
3,relu1_2,68.27,0.5774,0.5
4,pool1,68.17,0.5774,0.104
11,relu3_1,67.87,0.5774,0.1848
1,relu1_1,67.53,0.5774,0.399
13,relu3_2,67.2,0.5774,0.302
9,pool2,66.53,0.5774,0.1
0,conv1_1,66.1,0.5774,0.399
2,conv1_2,64.0,0.5774,0.5
8,relu2_2,61.1,0.5774,0.3384
5,conv2_1,59.97,0.5774,0.2495
7,conv2_2,49.97,0.5774,0.3384
10,conv3_1,43.57,0.5774,0.1848
15,relu3_3,43.47,0.5774,0.399
12,conv3_2,37.6,0.5774,0.302
14,conv3_3,15.23,0.5774,0.399
