eps_bar,U,l,sigma
0.5,0.6596666666666667,13,1.1871
0.75,0.6926666666666667,6,0.7806
1.0,0.699,6,0.5774
1.5,0.699,6,0.5774
2.0,0.699,6,0.5774
3.0,0.699,6,0.5774
1000000000.0,0.699,6,0.5774
