eps_bar,l,sigma,U
0.4,13,1.1871,0.6596666666666667
0.5,13,1.1871,0.6596666666666667
0.6,6,0.9838,0.666
0.75,6,0.7806,0.6926666666666667
1.0,6,0.5774,0.699
1.25,6,0.5774,0.699
1.5,6,0.5774,0.699
2.0,6,0.5774,0.699
3.0,6,0.5774,0.699
