split_layer,drop_rate,accuracy
13,0.9,0.006
13,0.95,0.002
14,0.0,0.703
14,0.05,0.698
14,0.1,0.705
14,0.15,0.688
14,0.2,0.682
14,0.25,0.669
14,0.3,0.649
14,0.35,0.625
14,0.4,0.61
14,0.45,0.58
14,0.5,0.583
14,0.55,0.508
14,0.6,0.433
14,0.65,0.37
14,0.7,0.23
14,0.75,0.06
14,0.8,0.058
14,0.85,0.042
14,0.9,0.012
14,0.95,0.001
15,0.0,0.703
15,0.05,0.698
15,0.1,0.705
15,0.15,0.688
15,0.2,0.682
15,0.25,0.669
15,0.3,0.649
15,0.35,0.625
15,0.4,0.61
15,0.45,0.58
15,0.5,0.583
15,0.55,0.508
15,0.6,0.433
15,0.65,0.37
15,0.7,0.23
15,0.75,0.06
15,0.8,0.058
15,0.85,0.042
15,0.9,0.012
15,0.95,0.001
16,0.0,0.703
16,0.05,0.699
16,0.1,0.687
16,0.15,0.677
16,0.2,0.648
16,0.25,0.637
16,0.3,0.61
16,0.35,0.58
16,0.4,0.528
16,0.45,0.484
16,0.5,0.443
16,0.55,0.378
16,0.6,0.299
16,0.65,0.253
16,0.7,0.164
16,0.75,0.113
16,0.8,0.05
16,0.85,0.021
16,0.9,0.012
16,0.95,0.001
17,0.0,0.703
17,0.05,0.699
17,0.1,0.687
17,0.15,0.677
17,0.2,0.648
17,0.25,0.637
17,0.3,0.61
17,0.35,0.58
17,0.4,0.528
17,0.45,0.484
17,0.5,0.443
17,0.55,0.378
17,0.6,0.299
17,0.65,0.253
17,0.7,0.164
17,0.75,0.113
17,0.8,0.05
17,0.85,0.021
17,0.9,0.012
17,0.95,0.001
18,0.0,0.703
18,0.05,0.697
18,0.1,0.687
18,0.15,0.677
18,0.2,0.649
18,0.25,0.637
18,0.3,0.611
18,0.35,0.582
18,0.4,0.528
18,0.45,0.485
18,0.5,0.443
18,0.55,0.378
18,0.6,0.299
18,0.65,0.253
18,0.7,0.164
18,0.75,0.113
18,0.8,0.05
18,0.85,0.021
18,0.9,0.012
18,0.95,0.002
19,0.0,0.703
19,0.05,0.698
19,0.1,0.694
19,0.15,0.689
19,0.2,0.677
19,0.25,0.669
19,0.3,0.658
19,0.35,0.665
19,0.4,0.645
19,0.45,0.621
19,0.5,0.596
19,0.55,0.539
19,0.6,0.49
19,0.65,0.426
19,0.7,0.325
19,0.75,0.258
19,0.8,0.136
19,0.85,0.052
19,0.9,0.017
19,0.95,0.011
20,0.0,0.703
20,0.05,0.698
20,0.1,0.694
20,0.15,0.689
20,0.2,0.677
20,0.25,0.669
20,0.3,0.658
20,0.35,0.665
20,0.4,0.645
20,0.45,0.621
20,0.5,0.596
20,0.55,0.539
20,0.6,0.49
20,0.65,0.426
20,0.7,0.325
20,0.75,0.258
20,0.8,0.136
20,0.85,0.052
20,0.9,0.017
20,0.95,0.011
21,0.0,0.703
21,0.05,0.698
21,0.1,0.698
21,0.15,0.695
21,0.2,0.677
21,0.25,0.676
21,0.3,0.667
21,0.35,0.639
21,0.4,0.623
21,0.45,0.589
21,0.5,0.558
21,0.55,0.495
21,0.6,0.439
21,0.65,0.424
21,0.7,0.303
21,0.75,0.167
21,0.8,0.125
21,0.85,0.06
21,0.9,0.021
21,0.95,0.009
22,0.0,0.703
22,0.05,0.698
22,0.1,0.698
22,0.15,0.695
22,0.2,0.677
22,0.25,0.676
22,0.3,0.667
22,0.35,0.639
22,0.4,0.623
22,0.45,0.589
22,0.5,0.558
22,0.55,0.495
22,0.6,0.439
22,0.65,0.424
22,0.7,0.303
22,0.75,0.167
22,0.8,0.125
22,0.85,0.06
22,0.9,0.021
22,0.95,0.009
23,0.0,0.703
