split_layer,drop_rate,sigma,accuracy
4,0.57,0.6643,0.12066666666666666
4,0.76,0.6643,0.005
4,0.95,0.6643,0.0030000000000000005
4,0.0,0.7857,0.6443333333333333
4,0.19,0.7857,0.5693333333333332
4,0.38,0.7857,0.37799999999999995
4,0.57,0.7857,0.09233333333333334
4,0.76,0.7857,0.006333333333333334
4,0.95,0.7857,0.0026666666666666666
4,0.0,0.9071,0.6103333333333333
4,0.19,0.9071,0.528
4,0.38,0.9071,0.3353333333333333
4,0.57,0.9071,0.06133333333333333
4,0.76,0.9071,0.006333333333333334
4,0.95,0.9071,0.0030000000000000005
4,0.0,1.0286,0.566
4,0.19,1.0286,0.48500000000000004
4,0.38,1.0286,0.2876666666666667
4,0.57,1.0286,0.035
4,0.76,1.0286,0.006333333333333333
4,0.95,1.0286,0.0023333333333333335
4,0.0,1.15,0.5166666666666667
4,0.19,1.15,0.44366666666666665
4,0.38,1.15,0.24233333333333332
4,0.57,1.15,0.026
4,0.76,1.15,0.004666666666666666
4,0.95,1.15,0.002
4,0.0,1.2714,0.45566666666666666
4,0.19,1.2714,0.38133333333333336
4,0.38,1.2714,0.19666666666666668
4,0.57,1.2714,0.016
4,0.76,1.2714,0.004
4,0.95,1.2714,0.002
4,0.0,1.3929,0.39666666666666667
4,0.19,1.3929,0.3253333333333333
4,0.38,1.3929,0.149
4,0.57,1.3929,0.011333333333333332
4,0.76,1.3929,0.0016666666666666668
4,0.95,1.3929,0.002
4,0.0,1.5143,0.3353333333333333
4,0.19,1.5143,0.277
4,0.38,1.5143,0.119
4,0.57,1.5143,0.007
4,0.76,1.5143,0.0030000000000000005
4,0.95,1.5143,0.002
4,0.0,1.6357,0.27166666666666667
4,0.19,1.6357,0.226
4,0.38,1.6357,0.08700000000000001
4,0.57,1.6357,0.004333333333333334
4,0.76,1.6357,0.0023333333333333335
4,0.95,1.6357,0.002
4,0.0,1.7571,0.21466666666666667
4,0.19,1.7571,0.18833333333333332
4,0.38,1.7571,0.07300000000000001
4,0.57,1.7571,0.0023333333333333335
4,0.76,1.7571,0.002
4,0.95,1.7571,0.0016666666666666668
4,0.0,1.8786,0.16833333333333333
4,0.19,1.8786,0.14633333333333332
4,0.38,1.8786,0.05366666666666667
4,0.57,1.8786,0.002
4,0.76,1.8786,0.0013333333333333333
4,0.95,1.8786,0.0013333333333333333
4,0.0,2.0,0.125
4,0.19,2.0,0.11933333333333333
4,0.38,2.0,0.03933333333333333
4,0.57,2.0,0.001
4,0.76,2.0,0.0006666666666666666
4,0.95,2.0,0.001
5,0.0,0.0,0.703
5,0.19,0.0,0.691
5,0.38,0.0,0.676
5,0.57,0.0,0.408
5,0.76,0.0,0.225
5,0.95,0.0,0.007
5,0.0,0.3,0.6226666666666666
5,0.19,0.3,0.5396666666666667
5,0.38,0.3,0.4000000000000001
5,0.57,0.3,0.107
5,0.76,0.3,0.037666666666666675
5,0.95,0.3,0.0030000000000000005
5,0.0,0.4214,0.6076666666666667
5,0.19,0.4214,0.528
5,0.38,0.4214,0.393
5,0.57,0.4214,0.09233333333333334
5,0.76,0.4214,0.035
5,0.95,0.4214,0.0023333333333333335
5,0.0,0.5429,0.6033333333333334
5,0.19,0.5429,0.515
5,0.38,0.5429,0.36433333333333334
5,0.57,0.5429,0.07666666666666666
5,0.76,0.5429,0.031
5,0.95,0.5429,0.002
