eps_bar_bit_per_elem,accuracy_pct,privacy_cost_pts,optimal_split_layer,optimal_sigma,sigma_floor,split_moved_vs_baseline
0.5,66.47,3.83,6,1.0286,1.0,no
0.75,68.8,1.5,6,0.7857,0.7395,no
1.0,69.77,0.53,6,0.6643,0.5774,no
1.5,70.03,0.27,6,0.5429,0.378,no
2.0,70.07,0.23,4,0.3,0.2582,yes -> deeper
3.0,70.07,0.23,4,0.3,0.126,yes -> deeper
